Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
R2;430;0277;LOŽNICA - TEPANJE;0;7.910;608;Vrhole;QLTC10;2.581;111;2.171;25;189;48;17;7;13;42;PLDP
R2;430;0278;TEPANJE - SL.KONJICE;0;3.154;48;Dobrnež;QLTC10;12.248;134;10.464;67;1.087;172;83;50;191;258;PLDP
R2;430;0279;SL.KONJICE ;0;815;;;P;12.400;150;10.670;120;930;185;155;45;145;287;PLDP
R2;430;0280;SL.KONJICE - DOBRAVA;0;3.000;49;Zeèe 2;QLTC10;12.038;158;10.420;89;953;161;86;37;134;222;PLDP
R2;430;0280;DOBRAVA - STRANICE;3.000;5.272;56;Zeèe;QLTC10;8.893;158;7.582;57;736;134;81;29;116;184;PLDP
R2;430;0281;STRANICE - VIŠNJA VAS;0;10.200;67;Stranice;QLD;5.465;144;4.571;46;468;78;63;19;76;158;WIM
R2;430;0282;VIŠNJA VAS - CELJE AC;0;6.100;68;Vojnik;QLTC8;15.214;158;13.497;82;1.151;131;102;20;73;214;DIST
R2;430;0282;CELJE AC - CELJE;6.100;8.042;695;CE Hudinja;QLTC10;27.119;128;23.662;135;1.917;362;177;128;610;684;PLDP
R2;431;1350;GORNJI DOLIÈ - STRANICE;0;18.621;377;Vitanje;QLTC10;3.043;47;2.523;20;309;61;29;15;39;70;PLDP
R2;432;1440;ROGATEC;0;170;414;MP Rogatec;QLTC44;1.525;10;1.405;5;45;15;20;10;15;31;PLDP
R2;432;1284;ROGATEC - MAJŠPERK;0;16.081;336;Stoperce;QLTC10;1.124;27;986;11;66;14;9;3;8;19;PLDP
R2;432;1411;MAJŠPERK ;0;480;;;P;3.000;25;2.570;35;280;55;10;10;15;47;PLDP
R2;432;1285;MAJŠPERK - APAŠKI KRIŽ;0;7.704;441;Lovrenc;QLTC10;5.040;52;4.481;34;327;51;51;11;33;78;PLDP
R2;432;6276;APAŠKI KRIŽ  -  KIDRIÈEVO;0;2.874;586;Kidrièevo;QLTC10;5.151;31;4.541;24;361;51;66;9;68;102;PLDP
R2;433;1287;SENARSKA - LENART;0;4.014;442;Lenart vzhod;QLTC8;2.961;53;2.658;20;204;13;8;1;4;19;PLDP
R2;433;1288;LENART - KRIŽ. SV.ANA;0;4.700;339;Žerjavci;QLTC10;4.108;52;3.665;18;261;33;31;12;36;60;PLDP
R2;433;1288;KRIŽ. SV.ANA - ZG.ŠÈAVNICA;4.700;11.200;28;Zgornja Šèavnica 1;MWTC1;2.000;16;1.780;15;120;12;35;2;20;40;PLDP
R2;433;1288;ZG.ŠÈAVNICA - TRATE;11.200;15.950;29;Zgornja Šèavnica 2;MWTC1;2.100;10;1.944;10;90;19;20;1;6;23;PLDP
R2;433;1289;TRATE - MOST ÈEZ MURO;0;2.040;27;Trate;MWTC1;2.200;8;2.058;8;95;11;10;2;8;17;PLDP
R2;433;1289;MOST ÈEZ MURO - MP TRATE;2.040;2.120;144;MT Trate;QLTC10;2.395;20;1.575;0;800;0;0;0;0;2;PLDP
R2;434;1352;RADLJE - RADELJSKI PRELAZ;0;6.160;668;MT Radelj;QLTC8;1.213;62;908;1;97;12;21;15;97;84;PLDP
R2;435;1431;MARIBOR - RUŠE;0;9.119;706;Laznica;QLTC8;10.038;69;8.953;44;667;89;104;23;89;209;WIM
R2;435;1439;RUŠE - SELNICA;0;3.198;710;Selnica;QLTC10;3.270;34;2.808;8;250;40;60;10;60;86;PLDP
R2;436;0440;DOLJNA POÈEHOVA ;0;931;;;P;6.000;50;5.470;40;290;55;40;15;40;83;PLDP
R2;436;1328;POÈEHOVA - ZG.KUNGOTA;0;6.870;429;Zgornja Kungota;QLTC10;4.664;62;4.139;36;348;32;35;5;7;48;PLDP
R2;436;1329;ZG.KUNGOTA - JURIJ;0;5.565;553;MT Jurij;QLTC10;617;23;547;3;34;3;4;1;2;6;PLDP
R2;437;0267;ŠENTILJ;0;1.598;664;MT Šentilj SC;QLTC8;6.370;57;5.803;7;391;19;5;13;75;65;PLDP
R2;437;0268;ŠENTILJ - PESNICA;0;7.730;628;Ranca;QLTC8;3.939;65;3.486;28;273;24;30;6;27;53;PLDP
R2;437;0268;PESNICA - RONDO POÈEHOVA;7.730;10.498;;;P;7.000;15;6.278;45;450;125;50;7;30;209;WIM
R2;438;1306;ŠENTILJ - TRATE;0;13.409;350;Selnica ob Muri;QLTC10;2.154;34;1.849;24;136;16;18;10;67;71;PLDP
R2;438;1307;TRATE - GORNJA RADGONA;0;15.579;361;Apaèe;QLTC10;2.687;27;2.364;17;191;19;31;9;29;51;PLDP
R2;439;1299;KOBILJE - DOBROVNIK;0;7.730;493;Kobilje;MWTC1;950;5;836;5;45;20;21;13;5;28;PLDP
R2;439;1300;DOBROVNIK - RENKOVCI;0;4.230;45;Dobrovnik;QLTC10;893;19;766;10;55;10;12;6;15;26;PLDP
R2;439;1301;RENKOVCI - BELTINCI;0;6.502;346;Renkovci;QLTC10;1.975;21;1.750;10;103;15;20;13;43;53;PLDP
R2;439;1302;BRATONCI - DOKLEŽOVJE;0;3.800;53;Bratonci;MWTC1;3.300;40;2.975;10;170;30;25;15;35;54;PLDP
R2;439;1302;DOKLEŽOVJE - KRIŽEVCI;3.800;9.490;347;Dokležovje;QLTC10;4.827;55;4.233;24;339;51;60;16;49;92;PLDP
R2;439;1303;KRIŽEVCI - ŽIHLAVA;0;11.630;357;Berkovci;MWTC1;850;5;683;15;75;35;25;10;2;34;PLDP
R2;439;1304;ŽIHLAVA - VIDEM;0;2.950;587;Jamna;QLTC10;2.378;32;2.068;16;198;21;26;6;11;35;PLDP
R2;439;1305;SV. JURIJ OB ŠÈAVNICI - CERKVENJAK;0;6.986;349;Kraljevci;QLTC8;690;20;582;18;50;6;10;1;3;16;PLDP
R2;439;1525;CERKVENJAK - PRIKLJ.CERKVENJAK;0;1.880;;;P;1.500;10;1.361;15;70;15;25;3;1;25;PLDP
R2;439;1525;PRIKLJ. CERKVENJAK - SENARSKA;1.880;6.735;;;P;900;7;795;15;50;10;20;2;1;20;PLDP
